snapshot_time,competition,event,end_date,moneyline_home_yes_prob,moneyline_home_yes_odds,moneyline_home_no_prob,moneyline_home_no_odds,moneyline_home_volume,moneyline_home_volume_24h,moneyline_home_liquidity,moneyline_home_spread,moneyline_away_yes_prob,moneyline_away_yes_odds,moneyline_away_no_prob,moneyline_away_no_odds,moneyline_away_volume,moneyline_away_volume_24h,moneyline_away_liquidity,moneyline_away_spread,draw_yes_prob,draw_yes_odds,draw_no_prob,draw_no_odds,draw_volume,draw_volume_24h,draw_liquidity,draw_spread,over25_prob,over25_odds,under25_prob,under25_odds,ou25_volume,ou25_volume_24h,ou25_liquidity,ou25_spread,btts_yes_prob,btts_yes_odds,btts_no_prob,btts_no_odds,btts_volume,btts_volume_24h,btts_liquidity,btts_spread,url
2026-06-09T06:22:18.362476+00:00,fifa world cup,Netherlands vs. Sweden,2026-06-20T17:00:00Z,0.595,1.68,0.405,2.47,3315.504043000008,205.64509299999997,20584.7923,0.01,0.175,5.71,0.825,1.21,1696.0436680000005,27.777773,22329.134,0.01,0.235,4.26,0.765,1.31,864.1365880000004,128.70833199999998,19806.8145,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-nld-swe-2026-06-20
2026-06-09T06:22:18.362476+00:00,fifa world cup,Germany vs. Côte d'Ivoire,2026-06-20T20:00:00Z,0.625,1.6,0.375,2.67,17707.299447000096,319.0951480000001,21848.4378,0.01,0.175,5.71,0.825,1.21,14479.595481999999,1760.7738840000004,43277.1215,0.01,0.205,4.88,0.795,1.26,955.678953,150.80952200000002,24324.3037,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-ger-civ-2026-06-20
2026-06-09T06:22:18.362476+00:00,fifa world cup,Ecuador vs. Curaçao,2026-06-21T00:00:00Z,0.805,1.24,0.195,5.13,16160.853447999985,2145.304254,20930.3777,0.01,0.066,15.15,0.934,1.07,35327.32955799998,1013.253489,19042.00552,0.004,0.125,8.0,0.875,1.14,6473.629086999998,660.72097,30303.0725,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-ecu-kor-2026-06-20
2026-06-09T06:22:18.362476+00:00,fifa world cup,Tunisia vs. Japan,2026-06-21T04:00:00Z,0.175,5.71,0.825,1.21,2094.9085039999995,48.760371,27514.5554,0.01,0.565,1.77,0.435,2.3,3982.7546410000023,489.016721,18611.7144,0.01,0.265,3.77,0.735,1.36,580.1318060000001,458.98995,19530.8443,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-tun-jpn-2026-06-21
2026-06-09T06:22:18.362476+00:00,fifa world cup,Spain vs. Saudi Arabia,2026-06-21T16:00:00Z,0.88,1.14,0.12,8.33,5917.986646000003,1277.8309880000002,16444.6429,0.02,0.0365,27.4,0.9635,1.04,10038.332745999996,2656.6198099999997,61712.6117,0.005,0.085,11.76,0.915,1.09,1086.969157,219.07,22863.018,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-esp-ksa-2026-06-21
2026-06-09T06:22:18.362476+00:00,fifa world cup,Belgium vs. IR Iran,2026-06-21T19:00:00Z,0.695,1.44,0.305,3.28,3206.3358149999995,585.257585,11882.782,0.01,0.105,9.52,0.895,1.12,9590.986120000001,512.770252,24651.8011,0.01,0.195,5.13,0.805,1.24,772.810044,100,17066.4018,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-bel-irn-2026-06-21
2026-06-09T06:22:18.362476+00:00,fifa world cup,Uruguay vs. Cabo Verde,2026-06-21T22:00:00Z,0.685,1.46,0.315,3.17,5248.213628999947,989.3206989999966,15673.9455,0.01,0.115,8.7,0.885,1.13,2233.6273350000006,421.043587,28645.0512,0.01,0.205,4.88,0.795,1.26,367.351891,106.25,17334.5622,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-ury-cvi-2026-06-21
2026-06-09T06:22:18.362476+00:00,fifa world cup,New Zealand vs. Egypt,2026-06-22T01:00:00Z,0.195,5.13,0.805,1.24,4120.337847999999,166.81,23863.8108,0.01,0.555,1.8,0.445,2.25,1900.1250729999986,682.034605,18564.5217,0.01,0.255,3.92,0.745,1.34,1128.117099,742.60177,24921.9895,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-nzl-egy-2026-06-21
2026-06-09T06:22:18.362476+00:00,fifa world cup,Argentina vs. Austria,2026-06-22T17:00:00Z,0.605,1.65,0.395,2.53,5982.70437499992,507.532522,24937.9097,0.01,0.165,6.06,0.835,1.2,3719.256344,18.190472,27265.7719,0.01,0.245,4.08,0.755,1.32,923.7518079999999,107.56,20368.6144,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-arg-aut-2026-06-22
2026-06-09T06:22:18.362476+00:00,fifa world cup,France vs. Iraq,2026-06-22T21:00:00Z,0.865,1.16,0.135,7.41,7868.5850869999995,1113.607292,12669.18,0.01,0.038,26.32,0.962,1.04,7250.0175610000015,493.913074,20696.4599,0.004,0.095,10.53,0.905,1.1,3418.77905,159.86889999999997,17524.1457,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-fra-irq-2026-06-22
