snapshot_time,competition,event,market,outcome,probability,decimal_odds,volume,volume_24h,liquidity,spread,end_date,market_score,url,moneyline,total_over_under2.5,btts_yes_no
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Ecuador - No,0.9925,1.01,25670686.345418774,113967.84049799993,4948735.34046,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Uzbekistan - Yes,0.0005,2000.0,44634768.891417585,129605.24,8202080.24501,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Uzbekistan - No,0.9995,1.0,44634768.891417585,129605.24,8202080.24501,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Morocco - Yes,0.0135,74.07,24271845.936269145,545163.5284550003,2885491.01987,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Morocco - No,0.9865,1.01,24271845.936269145,545163.5284550003,2885491.01987,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Panama - Yes,0.0005,2000.0,17372396.59575688,106437.42,9325597.41416,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Panama - No,0.9995,1.0,17372396.59575688,106437.42,9325597.41416,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Iraq - Yes,0.0005,2000.0,16283299.748710927,109203.86,9860553.70536,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Iraq - No,0.9995,1.0,16283299.748710927,109203.86,9860553.70536,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,South Africa - Yes,0.0005,2000.0,30921404.507894266,216805.46,8730682.69947,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,South Africa - No,0.9995,1.0,30921404.507894266,216805.46,8730682.69947,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Senegal - Yes,0.0065,153.85,20552312.64891051,106142.99758399998,4920745.95905,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Senegal - No,0.9935,1.01,20552312.64891051,106142.99758399998,4920745.95905,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Ivory Coast - Yes,0.0035,285.71,26411910.03817326,401186.714949,6594210.41986,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Ivory Coast - No,0.9965,1.0,26411910.03817326,401186.714949,6594210.41986,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Congo DR - Yes,0.0005,2000.0,20336286.22078797,241748.89,6452500.45353,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
2026-05-24T17:17:42.595793+00:00,FIFA World Cup 2026,2026 FIFA World Cup Winner ,winner,Congo DR - No,0.9995,1.0,20336286.22078797,241748.89,6452500.45353,0.001,2026-07-20T00:00:00Z,,https://polymarket.com/event/2026-fifa-world-cup-winner-595,,,
